学号	姓名	学院	地区
121250001	BbGTVka	软件学院	8区
131250001	BbGTVkb	软件学院	9区
121240001	BbGTVka1	其他学院	11区
131240001	BbGTVkb1	其他学院	8区
121230001	BbGTVka2	其他学院	5区
131230001	BbGTVkb2	其他学院	11区
121220001	BbGTVka3	其他学院	11区
131220001	BbGTVkb3	其他学院	9区
121210001	BbGTVka4	其他学院	10区
131210001	BbGTVkb4	其他学院	6区
121200001	BbGTVka5	其他学院	13区
131200001	BbGTVkb5	其他学院	6区
121190001	BbGTVka6	其他学院	13区
131190001	BbGTVkb6	其他学院	7区
121180001	BbGTVka7	其他学院	5区
131180001	BbGTVkb7	其他学院	7区
121170001	BbGTVka8	其他学院	13区
131170001	BbGTVkb8	其他学院	8区
121160001	BbGTVka9	其他学院	7区
131160001	BbGTVkb9	其他学院	10区
121150001	BbGTVka10	其他学院	5区
131150001	BbGTVkb10	其他学院	5区
121140001	BbGTVka11	其他学院	2区
131140001	BbGTVkb11	其他学院	9区
121130001	BbGTVka12	其他学院	8区
131130001	BbGTVkb12	其他学院	9区
121120001	BbGTVka13	其他学院	7区
131120001	BbGTVkb13	其他学院	12区
121110001	BbGTVka14	其他学院	2区
131110001	BbGTVkb14	其他学院	2区
121100001	BbGTVka15	其他学院	10区
131100001	BbGTVkb15	其他学院	11区
121090001	BbGTVka16	其他学院	11区
131090001	BbGTVkb16	其他学院	3区
121080001	BbGTVka17	其他学院	10区
131080001	BbGTVkb17	其他学院	7区
121070001	BbGTVka18	其他学院	6区
131070001	BbGTVkb18	其他学院	2区
121060001	BbGTVka19	其他学院	13区
131060001	BbGTVkb19	其他学院	13区
121050001	BbGTVka20	其他学院	1区
131050001	BbGTVkb20	其他学院	2区
121040001	BbGTVka21	其他学院	10区
131040001	BbGTVkb21	其他学院	1区
121030001	BbGTVka22	其他学院	1区
131030001	BbGTVkb22	其他学院	10区
121020001	BbGTVka23	其他学院	4区
131020001	BbGTVkb23	其他学院	3区
121010001	BbGTVka24	其他学院	1区
131010001	BbGTVkb24	其他学院	2区
121250002	AVkRvia	软件学院	8区
131250002	AVkRvib	软件学院	3区
121240002	AVkRvia1	其他学院	13区
131240002	AVkRvib1	其他学院	8区
121230002	AVkRvia2	其他学院	4区
131230002	AVkRvib2	其他学院	9区
121220002	AVkRvia3	其他学院	8区
131220002	AVkRvib3	其他学院	13区
121210002	AVkRvia4	其他学院	13区
131210002	AVkRvib4	其他学院	6区
121200002	AVkRvia5	其他学院	3区
131200002	AVkRvib5	其他学院	2区
121190002	AVkRvia6	其他学院	4区
131190002	AVkRvib6	其他学院	7区
121180002	AVkRvia7	其他学院	2区
131180002	AVkRvib7	其他学院	9区
121170002	AVkRvia8	其他学院	9区
131170002	AVkRvib8	其他学院	7区
121160002	AVkRvia9	其他学院	5区
131160002	AVkRvib9	其他学院	7区
121150002	AVkRvia10	其他学院	10区
131150002	AVkRvib10	其他学院	9区
121140002	AVkRvia11	其他学院	8区
131140002	AVkRvib11	其他学院	10区
121130002	AVkRvia12	其他学院	9区
131130002	AVkRvib12	其他学院	8区
121120002	AVkRvia13	其他学院	13区
131120002	AVkRvib13	其他学院	11区
121110002	AVkRvia14	其他学院	10区
131110002	AVkRvib14	其他学院	1区
121100002	AVkRvia15	其他学院	6区
131100002	AVkRvib15	其他学院	2区
121090002	AVkRvia16	其他学院	9区
131090002	AVkRvib16	其他学院	11区
121080002	AVkRvia17	其他学院	11区
131080002	AVkRvib17	其他学院	6区
121070002	AVkRvia18	其他学院	6区
131070002	AVkRvib18	其他学院	13区
121060002	AVkRvia19	其他学院	8区
131060002	AVkRvib19	其他学院	3区
121050002	AVkRvia20	其他学院	11区
131050002	AVkRvib20	其他学院	5区
121040002	AVkRvia21	其他学院	10区
131040002	AVkRvib21	其他学院	2区
121030002	AVkRvia22	其他学院	10区
131030002	AVkRvib22	其他学院	1区
121020002	AVkRvia23	其他学院	7区
131020002	AVkRvib23	其他学院	6区
121010002	AVkRvia24	其他学院	13区
131010002	AVkRvib24	其他学院	12区
121250003	UrdLrUa	软件学院	10区
131250003	UrdLrUb	软件学院	5区
121240003	UrdLrUa1	其他学院	13区
131240003	UrdLrUb1	其他学院	2区
121230003	UrdLrUa2	其他学院	4区
131230003	UrdLrUb2	其他学院	5区
121220003	UrdLrUa3	其他学院	2区
131220003	UrdLrUb3	其他学院	3区
121210003	UrdLrUa4	其他学院	10区
131210003	UrdLrUb4	其他学院	8区
121200003	UrdLrUa5	其他学院	10区
131200003	UrdLrUb5	其他学院	12区
121190003	UrdLrUa6	其他学院	5区
131190003	UrdLrUb6	其他学院	10区
121180003	UrdLrUa7	其他学院	2区
131180003	UrdLrUb7	其他学院	8区
121170003	UrdLrUa8	其他学院	8区
131170003	UrdLrUb8	其他学院	10区
121160003	UrdLrUa9	其他学院	2区
131160003	UrdLrUb9	其他学院	1区
121150003	UrdLrUa10	其他学院	7区
131150003	UrdLrUb10	其他学院	1区
121140003	UrdLrUa11	其他学院	12区
131140003	UrdLrUb11	其他学院	13区
121130003	UrdLrUa12	其他学院	8区
131130003	UrdLrUb12	其他学院	7区
121120003	UrdLrUa13	其他学院	3区
131120003	UrdLrUb13	其他学院	1区
121110003	UrdLrUa14	其他学院	6区
131110003	UrdLrUb14	其他学院	10区
121100003	UrdLrUa15	其他学院	6区
131100003	UrdLrUb15	其他学院	12区
121090003	UrdLrUa16	其他学院	6区
131090003	UrdLrUb16	其他学院	1区
121080003	UrdLrUa17	其他学院	1区
131080003	UrdLrUb17	其他学院	6区
121070003	UrdLrUa18	其他学院	3区
131070003	UrdLrUb18	其他学院	5区
121060003	UrdLrUa19	其他学院	8区
131060003	UrdLrUb19	其他学院	6区
121050003	UrdLrUa20	其他学院	8区
131050003	UrdLrUb20	其他学院	2区
121040003	UrdLrUa21	其他学院	9区
131040003	UrdLrUb21	其他学院	2区
121030003	UrdLrUa22	其他学院	3区
131030003	UrdLrUb22	其他学院	4区
121020003	UrdLrUa23	其他学院	12区
131020003	UrdLrUb23	其他学院	8区
121010003	UrdLrUa24	其他学院	1区
131010003	UrdLrUb24	其他学院	2区
121250004	gtQkYna	软件学院	11区
131250004	gtQkYnb	软件学院	9区
121240004	gtQkYna1	其他学院	2区
131240004	gtQkYnb1	其他学院	2区
121230004	gtQkYna2	其他学院	5区
131230004	gtQkYnb2	其他学院	3区
121220004	gtQkYna3	其他学院	8区
131220004	gtQkYnb3	其他学院	5区
121210004	gtQkYna4	其他学院	9区
131210004	gtQkYnb4	其他学院	1区
121200004	gtQkYna5	其他学院	9区
131200004	gtQkYnb5	其他学院	13区
121190004	gtQkYna6	其他学院	4区
131190004	gtQkYnb6	其他学院	10区
121180004	gtQkYna7	其他学院	5区
131180004	gtQkYnb7	其他学院	8区
121170004	gtQkYna8	其他学院	12区
131170004	gtQkYnb8	其他学院	2区
121160004	gtQkYna9	其他学院	12区
131160004	gtQkYnb9	其他学院	12区
121150004	gtQkYna10	其他学院	4区
131150004	gtQkYnb10	其他学院	11区
121140004	gtQkYna11	其他学院	2区
131140004	gtQkYnb11	其他学院	6区
121130004	gtQkYna12	其他学院	8区
131130004	gtQkYnb12	其他学院	7区
121120004	gtQkYna13	其他学院	10区
131120004	gtQkYnb13	其他学院	1区
121110004	gtQkYna14	其他学院	10区
131110004	gtQkYnb14	其他学院	13区
121100004	gtQkYna15	其他学院	11区
131100004	gtQkYnb15	其他学院	9区
121090004	gtQkYna16	其他学院	11区
131090004	gtQkYnb16	其他学院	2区
121080004	gtQkYna17	其他学院	1区
131080004	gtQkYnb17	其他学院	1区
121070004	gtQkYna18	其他学院	9区
131070004	gtQkYnb18	其他学院	7区
121060004	gtQkYna19	其他学院	2区
131060004	gtQkYnb19	其他学院	2区
121050004	gtQkYna20	其他学院	9区
131050004	gtQkYnb20	其他学院	11区
121040004	gtQkYna21	其他学院	6区
131040004	gtQkYnb21	其他学院	13区
121030004	gtQkYna22	其他学院	4区
131030004	gtQkYnb22	其他学院	12区
121020004	gtQkYna23	其他学院	5区
131020004	gtQkYnb23	其他学院	1区
121010004	gtQkYna24	其他学院	5区
131010004	gtQkYnb24	其他学院	2区
121250005	VVzBCwa	软件学院	4区
131250005	VVzBCwb	软件学院	2区
121240005	VVzBCwa1	其他学院	13区
131240005	VVzBCwb1	其他学院	6区
121230005	VVzBCwa2	其他学院	3区
131230005	VVzBCwb2	其他学院	10区
121220005	VVzBCwa3	其他学院	6区
131220005	VVzBCwb3	其他学院	9区
121210005	VVzBCwa4	其他学院	5区
131210005	VVzBCwb4	其他学院	3区
121200005	VVzBCwa5	其他学院	8区
131200005	VVzBCwb5	其他学院	7区
121190005	VVzBCwa6	其他学院	4区
131190005	VVzBCwb6	其他学院	10区
121180005	VVzBCwa7	其他学院	8区
131180005	VVzBCwb7	其他学院	2区
121170005	VVzBCwa8	其他学院	1区
131170005	VVzBCwb8	其他学院	1区
121160005	VVzBCwa9	其他学院	3区
131160005	VVzBCwb9	其他学院	9区
121150005	VVzBCwa10	其他学院	1区
131150005	VVzBCwb10	其他学院	6区
121140005	VVzBCwa11	其他学院	6区
131140005	VVzBCwb11	其他学院	3区
121130005	VVzBCwa12	其他学院	5区
131130005	VVzBCwb12	其他学院	3区
121120005	VVzBCwa13	其他学院	4区
131120005	VVzBCwb13	其他学院	2区
121110005	VVzBCwa14	其他学院	12区
131110005	VVzBCwb14	其他学院	8区
121100005	VVzBCwa15	其他学院	2区
131100005	VVzBCwb15	其他学院	13区
121090005	VVzBCwa16	其他学院	8区
